Customer_ID  Employee_ID  Street_ID   Order_Date Delivery_Date  Order_ID     Order_Type  Product_ID    Quantity  Total_Retail_Price  CostPrice_Per_Unit  Discount  Shipping  Profit
13           99999999     3940105189  28APR2005  03MAY2005      1230642273   2           230100500082  1         $126.10             $58.60              .         $15.95    67.50
171          99999999     1600101555  01MAY2005  04MAY2005      1230657844   3           240100100646  1         $109.90             $46.80              .         $12.95    63.10
11171        99999999     2600100032  07MAY2005  09MAY2005      1230690733   3           240200100043  2         $282.40             $69.40              .         $28.24    143.60
14703        99999999     4750100002  08MAY2005  11MAY2005      1230699509   2           220100100044  1         $102.10             $48.65              .         $12.95    53.45
14703        99999999     4750100002  08MAY2005  11MAY2005      1230699509   2           220100400005  1         $81.30              $40.75              .         $10.95    40.55
79           99999999     9260101874  08MAY2005  09MAY2005      1230700421   2           230100100006  1         $176.00             $74.55              .         $17.95    101.45
79           99999999     9260101874  08MAY2005  09MAY2005      1230700421   2           230100500045  2         $2.60               $0.60               .         $6.95     1.40
79           99999999     9260101874  08MAY2005  09MAY2005      1230700421   2           230100500068  2         $3.40               $0.80               .         $6.95     1.80
928          99999999     9050100016  15MAY2005  19MAY2005      1230738723   2           230100600026  2         $237.20             $59.40              .         $23.72    118.40
19444        99999999     4750100001  16MAY2005  21MAY2005      1230744524   2           220100700024  1         $99.70              $47.45              .         $12.95    52.25
19444        99999999     4750100001  16MAY2005  21MAY2005      1230744524   2           220101000002  1         $17.70              $8.00               .         $6.95     9.70
71           121060       9260124130  16MAY2005  16MAY2005      1230745294   1           220200100179  1         $134.50             $67.35              .         $15.95    67.15
12           121039       9260103713  18MAY2005  18MAY2005      1230754828   1           220100100272  3         $68.40              $11.50              .         $10.95    33.90
12           121039       9260103713  18MAY2005  18MAY2005      1230754828   1           220101400269  4         $268.00             $29.80              .         $26.80    148.80
544          99999999     9050100008  21MAY2005  22MAY2005      1230771337   2           230100500012  3         $221.70             $33.25              .         $22.17    121.95
111          120148       1600102072  23MAY2005  23MAY2005      1230778996   1           230100500096  1         $35.50              $17.25              .         $8.95     18.25
88           99999999     9260100179  25MAY2005  28MAY2005      1230793366   2           240400200097  3         $1,250.40           $124.20             .         $125.04   877.80
23           99999999     9260126679  27MAY2005  01JUN2005      1230804171   2           240500200073  3         $148.50             $20.65              .         $15.95    86.55
71           121064       9260124130  31MAY2005  31MAY2005      1230825762   1           230100500093  2         $265.60             $55.85              .         $26.56    153.90
23           99999999     9260126679  03JUN2005  08JUN2005      1230841456   2           240700400024  2         $127.20             $33.15              .         $15.95    60.90
75           121094       9260108068  03JUN2005  03JUN2005      1230841466   1           240500100062  2         $109.20             $23.85              .         $12.95    61.50
75           121094       9260108068  03JUN2005  03JUN2005      1230841466   1           240500200130  2         $56.00              $11.70              .         $8.95     32.60
56           121043       9260111871  11JUN2005  11JUN2005      1230885738   1           220101300017  2         $33.00              $7.45               .         $8.95     18.10
56           121043       9260111871  11JUN2005  11JUN2005      1230885738   1           220101400098  3         $97.20              $14.85              .         $12.95    52.65
18           121086       9260112361  16JUN2005  16JUN2005      1230912536   1           240500200121  2         $50.80              $12.10              .         $8.95     26.60
17023        99999999     2600100021  20JUN2005  25JUN2005      1230931366   3           240200200007  2         $166.80             $8.35               .         $17.95    150.10
17023        99999999     2600100021  20JUN2005  25JUN2005      1230931366   3           240200200061  2         $261.80             $52.45              .         $26.18    156.90
171          99999999     1600101555  03JUL2005  06JUL2005      1231002241   3           220101200029  1         $52.30              $22.65              .         $8.95     29.65
70108        99999999     2600100046  04JUL2005  05JUL2005      1231008713   2           240200200039  2         $42.40              $8.80               .         $8.95     24.80
2806         99999999     8010100089  04JUL2005  08JUL2005      1231014780   2           240100400043  4         $1,064.00           $131.50             .         $106.40   538.00
215          120145       1600102721  07JUL2005  07JUL2005      1231023774   1           230100500024  1         $22.90              $10.85              .         $6.95     12.05
215          120145       1600102721  07JUL2005  07JUL2005      1231023774   1           230100600015  1         $78.20              $39.20              .         $10.95    39.00
13           99999999     3940105189  09JUL2005  14JUL2005      1231035308   2           230100600023  2         $146.80             $36.80              .         $15.95    73.20
36           99999999     9260128237  15JUL2005  17JUL2005      1231071449   3           240400200057  2         $257.00             $58.05              .         $25.70    140.90
36           99999999     9260128237  15JUL2005  17JUL2005      1231071449   3           240400200066  2         $27.60              $6.30               .         $6.95     15.00
12           121064       9260103713  16JUL2005  16JUL2005      1231077006   1           230100500095  2         $193.80             $40.00              .         $17.95    113.80
61           99999999     3940108887  20JUL2005  25JUL2005      1231094514   2           230100500074  4         $544.00             $51.30              .         $54.40    338.80
61           99999999     3940108887  20JUL2005  25JUL2005      1231094514   2           230100600005  2         $259.60             $63.20              .         $25.96    133.20
79           121027       9260101874  27JUL2005  27JUL2005      1231135703   1           210200900004  2         $92.00              $16.05              .         $12.95    59.90
79           121027       9260101874  27JUL2005  27JUL2005      1231135703   1           210201000050  2         $39.00              $8.95               .         $8.95     21.10
31           121059       9260128428  02AUG2005  02AUG2005      1231169108   1           220200300157  3         $220.20             $36.65              .         $22.02    110.25
215          120164       1600102721  04AUG2005  04AUG2005      1231176288   1           240500200100  2         $45.40              $10.85              .         $8.95     23.70
111          99999999     1600102072  06AUG2005  08AUG2005      1231188317   2           220100900029  1         $30.80              $12.35              .         $8.95     18.45
3959         99999999     8010100151  06AUG2005  07AUG2005      1231194004   3           240100100610  2         $122.00             $27.55              .         $15.95    66.90
3959         99999999     8010100151  06AUG2005  07AUG2005      1231194004   3           240100400143  2         $330.00             $82.60              .         $33.00    164.80
71           120732       9260124130  08AUG2005  08AUG2005      1231204878   1           230100600017  2         $111.40             $27.95              .         $12.95    55.50
215          120134       1600102721  09AUG2005  09AUG2005      1231206746   1           240200100232  1         $28.20              $14.20              .         $6.95     14.00
70187        99999999     2600100035  13AUG2005  18AUG2005      1231227910   2           240200200013  3         $1,266.00           $42.20              .         $126.60   1139.40
20           121040       9260118934  13AUG2005  13AUG2005      1231231220   1           220101400306  2         $145.20             $33.10              .         $15.95    79.00
45           121045       9260104847  18AUG2005  18AUG2005      1231259703   1           240200100051  3         $420.90             $72.00              .         $42.09    204.90
52           99999999     9260116235  20AUG2005  26AUG2005      1231270767   3           230100600022  2         $168.20             $42.15              .         $17.95    83.90
12           121037       9260103713  24AUG2005  24AUG2005      1231292064   1           220101400060  3         $96.30              $14.70              .         $12.95    52.20
12           121037       9260103713  24AUG2005  24AUG2005      1231292064   1           220101400117  2         $91.20              $20.85              .         $12.95    49.50
16           99999999     3940105865  27AUG2005  04SEP2005      1231305521   2           220200100035  2         $125.20             $31.40              .         $15.95    62.40
16           99999999     3940105865  27AUG2005  29AUG2005      1231305531   2           220200100090  2         $177.20             $44.40              .         $17.95    88.40
20           121109       9260118934  28AUG2005  28AUG2005      1231314893   1           240700200024  2         $32.00              $6.35               .         $8.95     19.30
2806         99999999     8010100089  28AUG2005  01SEP2005      1231316727   2           240100400076  2         $224.60             $68.60              .         $22.46    87.40
2806         99999999     8010100089  28AUG2005  01SEP2005      1231316727   2           240100400143  2         $330.00             $82.60              .         $33.00    164.80
61           99999999     3940108887  29AUG2005  03SEP2005      1231317443   2           230100700002  2         $440.00             $135.00             .         $44.00    170.00
71           121057       9260124130  02SEP2005  02SEP2005      1231341359   1           220200200018  2         $132.80             $30.25              .         $15.95    72.30
36           99999999     9260128237  11SEP2005  13SEP2005      1231392762   3           230100600023  2         $146.80             $36.80              .         $15.95    73.20
36           99999999     9260128237  15SEP2005  17SEP2005      1231414059   3           240800200008  1         $150.25             $60.10              .         $17.95    90.15
70046        99999999     2600100017  23SEP2005  24SEP2005      1231453831   3           240200100052  1         $99.70              $51.40              .         $12.95    48.30
70046        99999999     2600100017  23SEP2005  24SEP2005      1231453831   3           240200200015  1         $24.00              $10.55              .         $6.95     13.45
52           121044       9260116235  25SEP2005  30SEP2005      1231468750   1           220100100153  1         $50.00              $25.10              .         $8.95     24.90
19444        99999999     4750100001  01OCT2005  06OCT2005      1231500373   2           220101200006  1         $52.20              $20.95              .         $8.95     31.25
88           121043       9260100179  01OCT2005  01OCT2005      1231501254   1           220100700052  1         $106.10             $50.50              .         $12.95    55.60
52           99999999     9260116235  05OCT2005  11OCT2005      1231522431   3           240100100065  1         $34.70              $13.80              .         $8.95     20.90
14703        99999999     4750100002  09OCT2005  12OCT2005      1231544990   2           220101400385  1         $24.80              $12.35              .         $6.95     12.45
70108        99999999     2600100046  22OCT2005  23OCT2005      1231614059   2           220101200020  1         $55.90              $24.20              .         $8.95     31.70
61           99999999     3940108887  23OCT2005  28OCT2005      1231619928   2           230100600036  1         $103.20             $50.40              .         $12.95    52.80
11           99999999     3940108592  29OCT2005  03NOV2005      1231653765   3           230100200047  1         $72.70              $35.20              .         $10.95    37.50
63           121061       9260125492  29OCT2005  02NOV2005      1231657078   1           220200300116  1         $84.20              $38.35              .         $10.95    45.85
5            121025       9260114570  30OCT2005  30OCT2005      1231663230   1           240100100433  1         $3.00               $1.15               .         $6.95     1.85
544          99999999     9050100008  12NOV2005  13NOV2005      1231734609   2           230100500091  1         $191.00             $80.45              .         $17.95    110.55
1033         99999999     9050100001  12NOV2005  16NOV2005      1231734615   3           230100600005  1         $129.80             $63.20              .         $15.95    66.60
17           121037       9260123306  16NOV2005  16NOV2005      1231757107   1           220100100568  1         $84.10              $42.15              .         $10.95    41.95
14703        99999999     4750100002  19NOV2005  22NOV2005      1231773634   2           220101400018  2         $45.60              $10.45              .         $8.95     24.70
71           121025       9260124130  20NOV2005  20NOV2005      1231780610   1           240100400080  1         $219.90             $109.90             .         $21.99    110.00
5            99999999     9260114570  01DEC2005  03DEC2005      1231842118   2           240700300002  2         $43.98              $7.25               .         $8.95     29.48
45           121060       9260104847  04DEC2005  04DEC2005      1231858937   1           220200300079  2         $128.60             $28.65              .         $15.95    71.30
70187        99999999     2600100035  05DEC2005  10DEC2005      1231861295   2           240200100154  2         $53.20              $11.95              .         $8.95     29.30
71           121043       9260124130  10DEC2005  10DEC2005      1231891098   1           220101400091  2         $65.60              $15.00              .         $10.95    35.60
88           120733       9260100179  11DEC2005  11DEC2005      1231896710   1           230100500087  1         $93.80              $39.05              .         $12.95    54.75
183          120127       1600100760  12DEC2005  12DEC2005      1231898348   1           220101400289  4         $240.80             $27.40              .         $24.08    131.20
215          120132       1600102721  14DEC2005  14DEC2005      1231908237   1           240200100180  2         $243.20             $62.90              .         $24.32    117.40
17           121020       9260123306  17DEC2005  17DEC2005      1231928627   1           240100400070  1         $175.90             $127.95             .         $17.95    47.95
111          120127       1600102072  18DEC2005  18DEC2005      1231930216   1           220100300008  4         $342.80             $34.35              .         $34.28    205.40
111          120127       1600102072  19DEC2005  19DEC2005      1231936241   1           220101400017  2         $22.20              $5.00               .         $6.95     12.20
5            99999999     9260114570  21DEC2005  23DEC2005      1231950921   2           230100500093  2         $265.60             $55.85              .         $26.56    153.90
5            99999999     9260114570  21DEC2005  23DEC2005      1231950921   2           230100600030  1         $86.30              $41.40              .         $10.95    44.90
111          99999999     1600102072  22DEC2005  24DEC2005      1231952752   2           220100100298  2         $105.80             $26.55              .         $12.95    52.70
70210        99999999     2600100015  22DEC2005  23DEC2005      1231953192   3           240200100052  2         $199.40             $51.40              .         $17.95    96.60
5            121037       9260114570  22DEC2005  22DEC2005      1231956902   1           220101400276  2         $136.80             $31.20              .         $15.95    74.40
19           99999999     3940106547  26DEC2005  30DEC2005      1231976710   3           240300100020  4         $56.40              $6.05               .         $8.95     32.20
19           99999999     3940106547  26DEC2005  30DEC2005      1231976710   3           240300100032  2         $1,200.20           $300.00             .         $120.02   600.20
183          120158       1600100760  27DEC2005  27DEC2005      1231982684   1           240400300033  3         $107.10             $14.35              .         $12.95    64.05
195          120148       1600101663  28DEC2005  28DEC2005      1231986335   1           230100500008  1         $38.00              $16.80              .         $8.95     21.20
70046        99999999     2600100017  31DEC2005  01JAN2006      1232003930   3           240200100124  2         $49.00              $12.35              .         $8.95     24.30
5            99999999     9260114570  31DEC2005  04JAN2006      1232007693   2           240100400044  1         $353.60             $174.75             .         $35.36    178.85
5            99999999     9260114570  31DEC2005  04JAN2006      1232007693   2           240100400049  1         $421.20             $212.95             .         $42.12    208.25
45           121066       9260104847  31DEC2005  31DEC2005      1232007700   1           230100100045  2         $249.60             $53.60              .         $24.96    142.40
45           121066       9260104847  31DEC2005  31DEC2005      1232007700   1           230100200019  2         $398.20             $95.65              .         $39.82    206.90
45           121066       9260104847  31DEC2005  31DEC2005      1232007700   1           230100500056  1         $8.00               $3.50               .         $6.95     4.50
53           120143       1600103258  13JAN2006  13JAN2006      1232087464   1           230100600022  4         $336.40             $42.15              .         $33.64    167.80
49           121039       9260104510  13JAN2006  13JAN2006      1232092527   1           220100200004  1         $6.50               $2.60               .         $6.95     3.90
49           121039       9260104510  13JAN2006  13JAN2006      1232092527   1           220100900006  1         $88.40              $35.45              .         $10.95    52.95
49           121039       9260104510  13JAN2006  13JAN2006      1232092527   1           220101400150  1         $28.20              $12.90              .         $6.95     15.30
34           121040       9260111379  23JAN2006  23JAN2006      1232161564   1           220100100197  1         $101.30             $50.75              .         $12.95    50.55
2618         99999999     8010100125  25JAN2006  30JAN2006      1232173841   3           240100100581  1         $28.00              $11.55              .         $6.95     16.45
2618         99999999     8010100125  25JAN2006  30JAN2006      1232173841   3           240100400147  1         $248.30             $122.75             .         $24.83    125.55
89           99999999     9260116551  01FEB2006  04FEB2006      1232217725   2           230100100062  2         $283.40             $61.00              .         $28.34    161.40
195          120150       1600101663  05FEB2006  05FEB2006      1232240447   1           230100200059  2         $77.60              $16.65              .         $10.95    44.30
70046        99999999     2600100017  05FEB2006  06FEB2006      1232241009   3           240200200039  1         $22.20              $9.20               .         $6.95     13.00
171          120148       1600101555  15FEB2006  15FEB2006      1232307056   1           230100500081  2         $146.00             $30.35              .         $15.95    85.30
20           121039       9260118934  15FEB2006  15FEB2006      1232311932   1           220100300025  2         $206.00             $42.40              .         $20.60    121.20
23           99999999     9260126679  18FEB2006  22FEB2006      1232331499   2           230100100051  2         $369.80             $78.15              .         $36.98    213.50
13           99999999     3940105189  25FEB2006  28FEB2006      1232373481   2           220200100229  1         $165.50             $82.85              .         $17.95    82.65
4            99999999     9260106519  03MAR2006  04MAR2006      1232410925   3           240800200030  1         $47.70              $18.80              .         $8.95     28.90
4            121100       9260106519  10MAR2006  10MAR2006      1232455720   1           240600100017  1         $53.00              $23.25              .         $8.95     29.75
70201        99999999     2600100012  20MAR2006  25MAR2006      1232517885   3           240200100226  1         $183.90             $86.65              .         $17.95    97.25
4            99999999     9260106519  21MAR2006  22MAR2006      1232530384   3           240700200019  1         $16.90              $8.60               .         $6.95     8.30
49           121037       9260104510  21MAR2006  21MAR2006      1232530393   1           220100100125  1         $33.40              $16.80              .         $8.95     16.60
49           121037       9260104510  21MAR2006  21MAR2006      1232530393   1           220100100513  1         $63.90              $32.05              .         $10.95    31.85
49           121037       9260104510  21MAR2006  21MAR2006      1232530393   1           220100300019  1         $35.60              $16.70              .         $8.95     18.90
92           121068       9260117676  25MAR2006  25MAR2006      1232554759   1           230100600022  1         $84.10              $42.15              .         $10.95    41.95
195          120160       1600101663  31MAR2006  31MAR2006      1232590052   1           240400300013  1         $51.80              $21.60              .         $8.95     30.20
195          120160       1600101663  31MAR2006  31MAR2006      1232590052   1           240400300035  1         $19.10              $7.70               .         $6.95     11.40
89           99999999     9260116551  01APR2006  04APR2006      1232601472   2           230100500094  2         $173.20             $34.10              .         $17.95    105.00
54655        99999999     2600100013  04APR2006  07APR2006      1232618023   2           240200100183  1         $95.70              $47.95              .         $12.95    47.75
49           121031       9260104510  08APR2006  16APR2006      1232648239   1           210201000126  1         $6.50               $2.30               .         $6.95     4.20
4            99999999     9260106519  09APR2006  10APR2006      1232654929   3           240500100017  4         $214.00             $23.75              .         $21.40    119.00
4            99999999     9260106519  09APR2006  10APR2006      1232654929   3           240500100029  1         $58.90              $26.10              .         $8.95     32.80
11171        99999999     2600100032  12APR2006  14APR2006      1232672914   3           240200100101  2         $38.80              $10.20              .         $8.95     18.40
11171        99999999     2600100032  12APR2006  14APR2006      1232672914   3           240200200011  2         $271.40             $13.00              .         $27.14    245.40
9            99999999     3940106659  16APR2006  21APR2006      1232698281   3           230100600035  1         $29.40              $14.15              .         $6.95     15.25
4            121041       9260106519  17APR2006  17APR2006      1232709099   1           220101400145  1         $16.70              $7.75               .         $6.95     8.95
34           121105       9260111379  17APR2006  17APR2006      1232709115   1           240700100001  3         $70.80              $12.30              .         $10.95    33.90
41           99999999     1600101527  20APR2006  24APR2006      1232723799   3           210200600112  1         $21.80              $9.25               .         $6.95     12.55
5            99999999     9260114570  20APR2006  24APR2006      1232728634   2           240100100403  1         $168.70             $76.55              .         $17.95    92.15
215          120151       1600102721  28APR2006  28APR2006      1232777080   1           230100500012  1         $73.90              $33.25              .         $10.95    40.65
215          120151       1600102721  28APR2006  28APR2006      1232777080   1           230100600023  1         $73.40              $36.80              .         $10.95    36.60
195          120143       1600101663  30APR2006  30APR2006      1232790793   1           230100200074  1         $50.10              $24.50              .         $8.95     25.60
45           99999999     9260104847  09MAY2006  13MAY2006      1232857157   2           230100600030  2         $172.60             $41.40              .         $17.95    89.80
908          99999999     9050100023  14MAY2006  18MAY2006      1232889267   2           230100200054  3         $407.40             $61.80              .         $40.74    222.00
34           121021       9260111379  15MAY2006  15MAY2006      1232897220   1           240100400129  3         $712.20             $111.00             .         $71.22    379.20
544          99999999     9050100008  21MAY2006  22MAY2006      1232936635   2           230100600030  2         $172.60             $41.40              .         $17.95    89.80
111          99999999     1600102072  23MAY2006  25MAY2006      1232946301   2           220101400061  2         $102.00             $23.30              .         $12.95    55.40
52           99999999     9260116235  24MAY2006  25MAY2006      1232956741   3           230100500008  2         $76.00              $16.80              .         $10.95    42.40
171          120145       1600101555  27MAY2006  27MAY2006      1232972274   1           230100200054  1         $135.80             $61.80              .         $15.95    74.00
171          120145       1600101555  27MAY2006  27MAY2006      1232972274   1           230100500056  1         $8.00               $3.50               .         $6.95     4.50
183          120122       1600100760  29MAY2006  29MAY2006      1232985693   1           240100100186  1         $273.00             $122.80             .         $27.30    150.20
4            121109       9260106519  30MAY2006  30MAY2006      1232998740   1           240700100011  3         $80.97              $10.23              .         $10.95    50.28
34           121025       9260111379  31MAY2006  31MAY2006      1233003688   1           240100100535  1         $28.60              $12.95              .         $6.95     15.65
14104        99999999     4750100001  07JUN2006  10JUN2006      1233049735   3           220101400216  2         $48.80              $11.20              .         $8.95     26.40
215          120148       1600102721  10JUN2006  10JUN2006      1233066745   1           230100600022  1         $84.10              $42.15              .         $10.95    41.95
49           121060       9260104510  11JUN2006  11JUN2006      1233078086   1           220200200071  2         $200.20             $43.50              .         $20.02    113.20
12           121054       9260103713  13JUN2006  13JUN2006      1233092596   1           240300100048  1         $15.50              $6.70               .         $6.95     8.80
45           121084       9260104847  19JUN2006  19JUN2006      1233131266   1           240400300039  2         $39.20              $7.90               .         $8.95     23.40
171          120121       1600101555  25JUN2006  25JUN2006      1233166411   1           240100100734  1         $10.10              $4.15               .         $6.95     5.95
70187        99999999     2600100035  25JUN2006  30JUN2006      1233167161   2           240200100095  2         $237.00             $52.55              .         $23.70    131.90
49           121109       9260104510  06JUL2006  06JUL2006      1233243603   1           240700200004  2         $8.40               $2.20               .         $6.95     4.00
19444        99999999     4750100001  07JUL2006  12JUL2006      1233248920   2           220100700042  2         $171.20             $36.35              .         $17.95    98.50
19444        99999999     4750100001  07JUL2006  12JUL2006      1233248920   2           220101400387  3         $37.80              $5.85               .         $8.95     20.25
75           121029       9260108068  10JUL2006  10JUL2006      1233270605   1           210200600085  2         $75.20              $17.00              .         $10.95    41.20
70059        99999999     2600100047  12JUL2006  16JUL2006      1233280857   3           220100100609  3         $173.70             $29.05              .         $17.95    86.55
5            121053       9260114570  17JUL2006  17JUL2006      1233315988   1           240300200018  1         $87.20              $39.70              .         $10.95    47.50
5            121053       9260114570  17JUL2006  17JUL2006      1233315988   1           240300300071  1         $138.00             $60.10              .         $15.95    77.90
13           99999999     3940105189  27JUL2006  30JUL2006      1233378724   2           240300100046  1         $14.10              $6.90               .         $6.95     7.20
34           121105       9260111379  11AUG2006  11AUG2006      1233482761   1           240700200021  2         $38.80              $10.35              .         $8.95     18.10
2550         99999999     8010100009  11AUG2006  16AUG2006      1233484749   3           240100400098  2         $503.60             $125.85             .         $50.36    251.90
2550         99999999     8010100009  11AUG2006  16AUG2006      1233484749   3           240100400136  3         $272.70             $45.40              .         $27.27    136.50
70201        99999999     2600100012  16AUG2006  21AUG2006      1233514453   3           240200200060  3         $553.50             $73.85              .         $55.35    331.95
215          120123       1600102721  19AUG2006  19AUG2006      1233531965   1           240100400112  1         $114.00             $54.80              .         $12.95    59.20
4            99999999     9260106519  20AUG2006  21AUG2006      1233543560   3           240500200083  3         $201.90             $28.00              .         $20.19    117.90
41           120134       1600101527  21AUG2006  21AUG2006      1233545775   1           240200100007  2         $49.40              $11.80              .         $8.95     25.80
41           120134       1600101527  21AUG2006  21AUG2006      1233545775   1           240200100020  1         $189.60             $100.60             .         $17.95    89.00
215          120150       1600102721  21AUG2006  21AUG2006      1233545781   1           230100500020  1         $6.20               $2.85               .         $6.95     3.35
89           99999999     9260116551  28AUG2006  31AUG2006      1233597637   2           240700400002  2         $67.20              $14.65              .         $10.95    37.90
215          120177       1600102721  01SEP2006  01SEP2006      1233618453   1           240700400020  1         $73.40              $38.25              .         $10.95    35.15
5            99999999     9260114570  10SEP2006  14SEP2006      1233682051   2           240100100676  1         $43.40              $18.65              .         $8.95     24.75
49           121053       9260104510  11SEP2006  11SEP2006      1233689304   1           240300300070  3         $1,514.40           $229.65             .         $151.44   825.45
195          120148       1600101663  04OCT2006  04OCT2006      1233837302   1           230100500026  4         $990.00             $109.55             .         $99.00    551.80
195          120148       1600101663  04OCT2006  04OCT2006      1233837302   1           230100600036  3         $309.60             $50.40              .         $30.96    158.40
111          99999999     1600102072  13OCT2006  15OCT2006      1233895201   2           220100100371  1         $25.60              $12.90              .         $6.95     12.70
111          99999999     1600102072  13OCT2006  15OCT2006      1233895201   2           220101400238  2         $113.80             $25.95              .         $12.95    61.90
544          99999999     9050100008  15OCT2006  16OCT2006      1233913196   2           230100400012  1         $29.30              $11.75              .         $6.95     17.55
34           121030       9260111379  16OCT2006  16OCT2006      1233920786   1           210200400020  1         $38.00              $19.10              .         $8.95     18.90
34           121030       9260111379  16OCT2006  16OCT2006      1233920786   1           210200400070  1         $41.60              $20.90              .         $8.95     20.70
52           121135       9260116235  16OCT2006  16OCT2006      1233920795   1           240800200010  1         $120.40             $48.10              .         $15.95    72.30
52           121064       9260116235  16OCT2006  16OCT2006      1233920805   1           230100500056  1         $8.00               $3.50               .         $6.95     4.50
19873        99999999     4750100001  28OCT2006  04NOV2006      1233998114   2           220100100101  1         $59.70              $29.95              .         $8.95     29.75
19873        99999999     4750100001  28OCT2006  04NOV2006      1233998114   2           220100400022  1         $98.90              $47.70              .         $12.95    51.20
92           121039       9260117676  02NOV2006  02NOV2006      1234033037   1           220100700022  1         $53.70              $22.75              .         $8.95     30.95
75           121069       9260108068  11NOV2006  11NOV2006      1234092222   1           230100500023  1         $7.20               $3.10               .         $6.95     4.10
195          120123       1600101663  18NOV2006  18NOV2006      1234133789   1           240100400046  1         $328.30             $165.95             .         $32.83    162.35
53           120121       1600103258  26NOV2006  26NOV2006      1234186330   1           240100400095  1         $200.10             $97.75              .         $20.01    102.35
49           121035       9260104510  27NOV2006  27NOV2006      1234198497   1           210200100017  1         $39.00              $17.35              .         $8.95     21.65
54655        99999999     2600100013  03DEC2006  06DEC2006      1234235150   2           240200200060  2         $369.00             $73.85              .         $36.90    221.30
49           121042       9260104510  04DEC2006  04DEC2006      1234247283   1           220100400023  2         $187.20             $40.75              .         $17.95    105.70
17           121135       9260123306  05DEC2006  05DEC2006      1234255111   1           240800100039  3         $257.40             $39.90              .         $25.74    137.70
23           99999999     9260126679  09DEC2006  13DEC2006      1234279341   2           230100500092  1         $116.70             $48.60              .         $12.95    68.10
92           121109       9260117676  12DEC2006  12DEC2006      1234301319   1           240700200010  4         $105.60             $10.10              .         $12.95    65.20
70210        99999999     2600100015  16DEC2006  17DEC2006      1234323012   3           240200100098  2         $29.20              $6.75               .         $6.95     15.70
70210        99999999     2600100015  16DEC2006  17DEC2006      1234323012   3           240200100101  2         $39.00              $10.30              .         $8.95     18.40
70210        99999999     2600100015  16DEC2006  17DEC2006      1234323012   3           240200200035  2         $196.00             $39.30              .         $17.95    117.40
4            121069       9260106519  19DEC2006  19DEC2006      1234348668   1           230100100053  2         $92.60              $20.90              .         $12.95    50.80
